Original URL,Canonical URL,HTTP Status,Reason,Backlinks Impact,Internal Links Updated
/solutions/jardinage,https://orsap.ma/solutions/jardinage,200,Green Spaces & Forestry,Preserved,Yes
/solutions/consommables,https://orsap.ma/solutions/consommables,200,Technical Consumables,Preserved,Yes
/solutions/luminaires,https://orsap.ma/solutions/luminaires,200,Industrial Lighting,Preserved,Yes
/solutions/climatisation,https://orsap.ma/solutions/climatisation,200,HVAC & Air Treatment,Preserved,Yes
/solutions/electricite,https://orsap.ma/solutions/electricite,200,Industrial Electricity,Preserved,Yes
/solutions/quincaillerie,https://orsap.ma/solutions/quincaillerie,200,Industrial Hardware,Preserved,Yes
/solutions/revetements,https://orsap.ma/solutions/revetements,200,Technical Flooring & Walls,Preserved,Yes
/produits,https://orsap.ma/solutions,301,Legacy Product Route Redirect to Solutions,Preserved,Yes
/produits/:category,https://orsap.ma/solutions/:category,301,Legacy Product Category Alias,Preserved,Yes
/services,https://orsap.ma/services,200,Services Overview,Preserved,Yes
/services/importation-distribution,https://orsap.ma/services/importation-distribution,200,Import & Distribution Service,Preserved,Yes
/services/etudes-realisations,https://orsap.ma/services/etudes-realisations,200,Engineering Studies Service,Preserved,Yes
/services/maintenance-sav,https://orsap.ma/services/maintenance-sav,200,Maintenance & After-Sales Service,Preserved,Yes
/services/revetements-sols-murs,https://orsap.ma/services/revetements-sols-murs,200,Flooring Service,Preserved,Yes
/services/plomberie-fluides,https://orsap.ma/services/plomberie-fluides,200,Fluid Piping Service,Preserved,Yes
/services/climatisation,https://orsap.ma/services/climatisation,200,HVAC Installation Service,Preserved,Yes
/services/amenagement-ateliers,https://orsap.ma/services/amenagement-ateliers,200,Workshop Fitting Service,Preserved,Yes
/marques,https://orsap.ma/marques,200,Brands Catalog,Preserved,Yes
/temoignages,https://orsap.ma/temoignages,200,Testimonials & Case Studies,Preserved,Yes
/devis,https://orsap.ma/devis,200,Quote Request Hub,Preserved,Yes
/blog,https://orsap.ma/blog,200,Technical Blog Hub,Preserved,Yes
/blog/prevention,https://orsap.ma/blog/prevention,200,HSE Prevention Hub,Preserved,Yes
/blog/prevention/ergonomie,https://orsap.ma/blog/prevention/ergonomie,200,Ergonomics Hub,Preserved,Yes
/blog/prevention/tms,https://orsap.ma/blog/prevention/tms,200,TMS Prevention Hub,Preserved,Yes
/recrutement,https://orsap.ma/recrutement,200,Careers Page,Preserved,Yes
/contact,https://orsap.ma/contact,200,Contact & Map,Preserved,Yes
/espace-client,https://orsap.ma/espace-client,200,Client Portal,Preserved,Yes
